acousticIntensity,modifiedIsing
73.0,1.011357091697050
90.0,1.0113674082238700
65.0,1.923381922491480
86.0,2.037195861529590
87.0,1.5993460749776500
111.0,2.1655905313861000
66.0,1.5507464557360700
68.0,1.5507566613253600
79.0,1.5507682276598800
84.0,1.5507811547396400
72.0,2.0885765985217600
68.0,2.0885628535187700
68.0,1.7474170524431000
71.0,1.6593175785459900
66.0,1.6593006525563200
71.5,1.8442283793102500
65.0,1.8442095671245100
68.0,1.6839733844729300
61.5,2.1402928187854100
75.0,2.1403146512207100
78.0,1.9256972386330100
80.0,1.7018968789954600
65.6,2.046459811046100
73.0,2.0464806863212100
64.0,1.772286184189820
62.0,1.6317122307288500
66.0,1.6317288752979500
79.0,1.9984515715227200
87.0,1.9738908158179000
65.0,1.9739379070655000
65.0,2.0463861890520600
65.0,2.157342796228430
76.0,1.6822347490659700
73.0,1.6821492959121000
78.0,1.682092777284690
60.0,1.6820307905409600
75.0,1.6822347490659700
72.0,1.6821492959121000
68.0,1.682092777284690
60.0,1.6820307905409600
67.0,1.5507464557360700
70.0,1.5507566613253600
79.0,1.5507682276598800
89.0,1.5507811547396400
77.0,1.011357091697050
80.0,1.0113637475208000
89.0,1.0113712907877300
87.0,1.011379721497820
87.0,2.2057112985137600
85.0,2.205692912034280
82.0,2.2056764609736800
75.0,2.205661945331990
73.0,2.046459811046100
69.0,2.0464732789655300
82.0,1.4600152161597300
82.0,1.460004326702430
70.0,1.459994718357750
76.0,1.6822347490659700
73.0,1.6821492959121000
78.0,1.682092777284690
60.0,1.6820307905409600
75.0,1.6822347490659700
72.0,1.6821492959121000
68.0,1.682092777284690
60.0,1.6820307905409600
67.0,1.5507464557360700
70.0,1.5507566613253600
79.0,1.5507682276598800
89.0,1.5507811547396400
77.0,1.011357091697050
80.0,1.0113637475208000
89.0,1.0113712907877300
87.0,1.011379721497820
87.0,2.2057112985137600
85.0,2.205692912034280
82.0,2.2056764609736800
75.0,2.205661945331990
73.0,2.046459811046100
69.0,2.0464732789655300
82.0,1.4600152161597300
82.0,1.460004326702430
70.0,1.459994718357750
