flowRate,predictedIsing
4.38723414073815E-05,1.0113353493394500
6.46893197282308E-05,1.0113353493394500
4.38723414073815E-05,1.9233405732411500
6.46893197282308E-05,2.0371312853665200
4.6415146501197E-05,1.599309699146030
0.000108337822659044,2.165475569461520
4.38723414073815E-05,1.5507131174777400
5.73026500014778E-05,1.5507131174777400
7.25236664081204E-05,1.5507131174777400
8.95353906273091E-05,1.5507131174777400
5.73026500014778E-05,2.0885179531756500
4.38723414073815E-05,2.0885179531756500
4.38723414073815E-05,1.7473794861208300
6.46893197282308E-05,1.6592649805780900
4.38723414073815E-05,1.6592649805780900
6.46893197282308E-05,1.8441699199373500
4.38723414073815E-05,1.8441699199373500
4.38723414073815E-05,1.6839371820753600
4.38723414073815E-05,2.1402468063411200
6.46893197282308E-05,2.1402468063411200
4.38723414073815E-05,1.925655839607550
4.38723414073815E-05,1.701860291275020
4.38723414073815E-05,2.0464158158426300
6.46893197282308E-05,2.0464158158426300
4.38723414073815E-05,1.772248083225970
4.38723414073815E-05,1.6316771518520500
6.46893197282308E-05,1.6316771518520500
6.46893197282308E-05,1.99838822349763
6.46893197282308E-05,1.973828246333250
6.46893197282308E-05,1.9738753360881200
6.46893197282308E-05,2.0463213215689100
4.38723414073815E-05,2.1572964172403000
0.00038736591400999,1.6819154878182400
0.00028368393166356600,1.6819154878182400
0.00021510877598211000,1.6819154878182400
0.00013989904785517000,1.6819154878182400
0.00038736591400999,1.6819154878182400
0.00028368393166356600,1.6819154878182400
0.00021510877598211000,1.6819154878182400
0.00013989904785517000,1.6819154878182400
4.38723414073815E-05,1.5507131174777400
5.73026500014778E-05,1.5507131174777400
7.25236664081204E-05,1.5507131174777400
8.95353906273091E-05,1.5507131174777400
4.38723414073815E-05,1.0113353493394500
5.73026500014778E-05,1.0113353493394500
7.25236664081204E-05,1.0113353493394500
8.95353906273091E-05,1.0113353493394500
8.95353906273091E-05,2.205614527569100
7.25236664081204E-05,2.205614527569100
5.73026500014778E-05,2.205614527569100
4.38723414073815E-05,2.205614527569100
4.38723414073815E-05,2.0464158158426300
5.73026500014778E-05,2.0464158158426300
7.25236664081204E-05,1.4599633310984700
5.73026500014778E-05,1.4599633310984700
4.38723414073815E-05,1.4599633310984700
0.00038736591400999,1.6819154878182400
0.00028368393166356600,1.6819154878182400
0.00021510877598211000,1.6819154878182400
0.00013989904785517000,1.6819154878182400
0.00038736591400999,1.6819154878182400
0.00028368393166356600,1.6819154878182400
0.00021510877598211000,1.6819154878182400
0.00013989904785517000,1.6819154878182400
4.38723414073815E-05,1.5507131174777400
5.73026500014778E-05,1.5507131174777400
7.25236664081204E-05,1.5507131174777400
8.95353906273091E-05,1.5507131174777400
4.38723414073815E-05,1.0113353493394500
5.73026500014778E-05,1.0113353493394500
7.25236664081204E-05,1.0113353493394500
8.95353906273091E-05,1.0113353493394500
8.95353906273091E-05,2.205614527569100
7.25236664081204E-05,2.205614527569100
5.73026500014778E-05,2.205614527569100
4.38723414073815E-05,2.205614527569100
4.38723414073815E-05,2.0464158158426300
5.73026500014778E-05,2.0464158158426300
7.25236664081204E-05,1.4599633310984700
5.73026500014778E-05,1.4599633310984700
4.38723414073815E-05,1.4599633310984700
