frequency,cutUpHeight,diameterToe
196.0,0.0105,0.007
196.0,0.0105,0.0085
146.8,0.012,0.007
138.6,0.012,0.0085
174.6,0.01,0.0072
174.6,0.01,0.011
110.0,0.017,0.007
110.0,0.017,0.008
110.0,0.017,0.009
110.0,0.017,0.01
116.5,0.014,0.008
116.5,0.014,0.007
116.5,0.014,0.007
103.8,0.0155,0.0085
103.8,0.0155,0.007
103.8,0.0155,0.0085
103.8,0.0155,0.007
123.5,0.0125,0.007
123.5,0.0125,0.007
123.5,0.0125,0.0085
123.5,0.0125,0.007
174.6,0.0101,0.007
146.8,0.012,0.007
146.8,0.012,0.0085
146.8,0.012,0.007
98.0,0.0166,0.007
98.0,0.0166,0.0085
98.0,0.0166,0.0085
103.8,0.0157,0.0085
110.0,0.0149,0.0085
116.5,0.014,0.0085
123.5,0.013,0.007
69.3,0.0243,0.0208
69.3,0.0243,0.0178
69.3,0.0243,0.0155
69.3,0.0243,0.0125
69.3,0.0243,0.0208
69.3,0.0243,0.0178
69.3,0.0243,0.0155
69.3,0.0243,0.0125
110.0,0.017,0.007
110.0,0.017,0.008
110.0,0.017,0.009
110.0,0.017,0.01
196.0,0.0105,0.007
196.0,0.0105,0.008
196.0,0.0105,0.009
196.0,0.0105,0.01
116.5,0.0135,0.01
116.5,0.0135,0.009
116.5,0.0135,0.008
116.5,0.0135,0.007
146.8,0.012,0.007
146.8,0.012,0.008
174.6,0.01,0.009
174.6,0.01,0.008
174.6,0.01,0.007
69.3,0.0243,0.0208
69.3,0.0243,0.0178
69.3,0.0243,0.0155
69.3,0.0243,0.0125
69.3,0.0243,0.0208
69.3,0.0243,0.0178
69.3,0.0243,0.0155
69.3,0.0243,0.0125
110.0,0.017,0.007
110.0,0.017,0.008
110.0,0.017,0.009
110.0,0.017,0.01
196.0,0.0105,0.007
196.0,0.0105,0.008
196.0,0.0105,0.009
196.0,0.0105,0.01
116.5,0.0135,0.01
116.5,0.0135,0.009
116.5,0.0135,0.008
116.5,0.0135,0.007
146.8,0.012,0.007
146.8,0.012,0.008
174.6,0.01,0.009
174.6,0.01,0.008
174.6,0.01,0.007
